,date,time,open,high,low,close,tickvol,vol,spread,label,exit_index
107,6/01/2020,11:30:00 AM,1.11789,1.11936,1.11785,1.11932,1143,0,1,-1,156.0
108,6/01/2020,12:00:00 PM,1.11932,1.11995,1.11899,1.11961,1044,0,1,-1,156.0
109,6/01/2020,12:30:00 PM,1.11961,1.11982,1.11924,1.11961,785,0,2,-1,156.0
110,6/01/2020,1:00:00 PM,1.11961,1.12052,1.11961,1.12024,1158,0,1,-1,151.0
111,6/01/2020,1:30:00 PM,1.12024,1.12054,1.12009,1.12032,803,0,1,-1,151.0
112,6/01/2020,2:00:00 PM,1.12032,1.12042,1.11958,1.1198,666,0,1,-1,156.0
113,6/01/2020,2:30:00 PM,1.1198,1.11997,1.11952,1.1198,596,0,1,-1,156.0
114,6/01/2020,3:00:00 PM,1.1198,1.12001,1.11912,1.11957,953,0,1,-1,156.0
115,6/01/2020,3:30:00 PM,1.11959,1.12032,1.11949,1.11977,956,0,1,-1,156.0
116,6/01/2020,4:00:00 PM,1.11976,1.12002,1.11929,1.11946,861,0,1,-1,156.0
117,6/01/2020,4:30:00 PM,1.11946,1.11962,1.11826,1.11831,1174,0,1,-1,163.0
118,6/01/2020,5:00:00 PM,1.11831,1.11881,1.11826,1.11875,1020,0,1,-1,163.0
119,6/01/2020,5:30:00 PM,1.11876,1.11901,1.11821,1.11885,1502,0,1,-1,163.0
120,6/01/2020,6:00:00 PM,1.11885,1.11896,1.11809,1.11857,1081,0,1,-1,163.0
121,6/01/2020,6:30:00 PM,1.11857,1.11878,1.11846,1.11872,868,0,1,-1,163.0
122,6/01/2020,7:00:00 PM,1.11872,1.1196,1.11842,1.11929,705,0,2,-1,163.0
123,6/01/2020,7:30:00 PM,1.11929,1.1195,1.11906,1.11949,470,0,1,-1,156.0
124,6/01/2020,8:00:00 PM,1.11949,1.11966,1.11931,1.11955,580,0,2,-1,156.0
125,6/01/2020,8:30:00 PM,1.11955,1.11978,1.11917,1.11919,480,0,2,-1,163.0
126,6/01/2020,9:00:00 PM,1.11919,1.11928,1.11901,1.1192,344,0,1,-1,163.0
127,6/01/2020,9:30:00 PM,1.1192,1.11922,1.1188,1.11912,418,0,2,-1,163.0
128,6/01/2020,10:00:00 PM,1.11912,1.11917,1.1189,1.11902,388,0,2,-1,163.0
129,6/01/2020,10:30:00 PM,1.11901,1.11937,1.11893,1.11937,433,0,1,-1,156.0
130,6/01/2020,11:00:00 PM,1.11934,1.11955,1.11928,1.11946,203,0,2,-1,156.0
131,6/01/2020,11:30:00 PM,1.11946,1.11989,1.11946,1.11968,300,0,1,-1,156.0
132,7/01/2020,12:00:00 AM,1.1196,1.1196,1.11932,1.11946,197,0,2,-1,156.0
133,7/01/2020,12:30:00 AM,1.11946,1.11965,1.11945,1.11952,140,0,2,-1,156.0
134,7/01/2020,1:00:00 AM,1.11952,1.11975,1.11947,1.11951,327,0,2,-1,156.0
135,7/01/2020,1:30:00 AM,1.11951,1.11962,1.1194,1.11953,436,0,2,-1,156.0
136,7/01/2020,2:00:00 AM,1.11952,1.11955,1.1193,1.11936,453,0,2,-1,163.0
137,7/01/2020,2:30:00 AM,1.11936,1.11936,1.11891,1.11897,411,0,1,-1,163.0
138,7/01/2020,3:00:00 AM,1.11897,1.11971,1.11896,1.11965,467,0,2,-1,156.0
139,7/01/2020,3:30:00 AM,1.11965,1.11969,1.11933,1.11934,451,0,1,-1,156.0
140,7/01/2020,4:00:00 AM,1.11934,1.11934,1.11914,1.11918,270,0,2,-1,163.0
141,7/01/2020,4:30:00 AM,1.11918,1.11923,1.11909,1.11914,156,0,3,-1,163.0
142,7/01/2020,5:00:00 AM,1.11914,1.11943,1.11911,1.1193,272,0,2,-1,163.0
143,7/01/2020,5:30:00 AM,1.1193,1.11944,1.1192,1.11922,275,0,2,-1,163.0
144,7/01/2020,6:00:00 AM,1.11922,1.11934,1.11911,1.1193,328,0,2,-1,163.0
145,7/01/2020,6:30:00 AM,1.11929,1.11933,1.11905,1.11908,259,0,1,-1,163.0
146,7/01/2020,7:00:00 AM,1.11908,1.11924,1.11901,1.11913,226,0,2,-1,163.0
147,7/01/2020,7:30:00 AM,1.11913,1.11918,1.11828,1.11829,336,0,1,-1,165.0
148,7/01/2020,8:00:00 AM,1.11829,1.11885,1.11808,1.11852,839,0,1,-1,163.0
149,7/01/2020,8:30:00 AM,1.11852,1.11896,1.1181,1.11815,795,0,1,-1,165.0
150,7/01/2020,9:00:00 AM,1.11817,1.11853,1.11782,1.11815,1068,0,1,-1,165.0
151,7/01/2020,9:30:00 AM,1.11814,1.11815,1.11729,1.1174,1257,0,1,-1,166.0
152,7/01/2020,10:00:00 AM,1.1174,1.11808,1.11725,1.11804,1226,0,2,-1,165.0
153,7/01/2020,10:30:00 AM,1.11805,1.11875,1.11802,1.11845,1357,0,1,-1,163.0
154,7/01/2020,11:00:00 AM,1.11845,1.11896,1.11808,1.1183,1053,0,2,-1,165.0
155,7/01/2020,11:30:00 AM,1.11828,1.11845,1.11804,1.11844,879,0,2,-1,163.0
156,7/01/2020,12:00:00 PM,1.11843,1.1186,1.11647,1.1166,1311,0,1,-1,168.0
157,7/01/2020,12:30:00 PM,1.11662,1.11766,1.11661,1.11762,924,0,1,-1,165.0
158,7/01/2020,1:00:00 PM,1.11762,1.11792,1.1172,1.11787,940,0,2,-1,165.0
159,7/01/2020,1:30:00 PM,1.11787,1.11849,1.11763,1.11817,936,0,1,-1,165.0
160,7/01/2020,2:00:00 PM,1.11817,1.11832,1.11771,1.11795,940,0,1,-1,165.0
161,7/01/2020,2:30:00 PM,1.11795,1.11805,1.11711,1.11747,951,0,1,-1,165.0
