Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-11-12 11:20:00+00:00,1.1443,2021-11-12 13:35:00+00:00,1.14461,-0.0005099999999998092
buy,2021-11-12 13:40:00+00:00,1.14503,2021-11-12 15:15:00+00:00,1.14482,-0.0004100000000000423
short,2021-11-12 15:55:00+00:00,1.14477,2021-11-12 17:10:00+00:00,1.14483,-0.00025999999999994777
buy,2021-11-12 17:15:00+00:00,1.14543,2021-11-12 21:25:00+00:00,1.14482,-0.0008099999999999982
short,2021-11-12 21:30:00+00:00,1.14464,2021-11-15 02:15:00+00:00,1.14439,5.00000000000847e-05
buy,2021-11-15 02:20:00+00:00,1.14449,2021-11-15 06:55:00+00:00,1.14566,0.0009699999999998946
short,2021-11-15 07:00:00+00:00,1.14557,2021-11-15 07:45:00+00:00,1.14571,-0.0003400000000000278
buy,2021-11-15 07:50:00+00:00,1.14602,2021-11-15 09:40:00+00:00,1.14541,-0.0008099999999999982
short,2021-11-15 09:50:00+00:00,1.14545,2021-11-15 12:30:00+00:00,1.14502,0.0002300000000001537
short,2021-11-15 13:20:00+00:00,1.14489,2021-11-15 21:20:00+00:00,1.13892,0.005770000000000032
buy,2021-11-15 21:30:00+00:00,1.13896,2021-11-15 22:05:00+00:00,1.13822,-0.0009399999999999617
short,2021-11-15 22:20:00+00:00,1.13819,2021-11-16 01:05:00+00:00,1.13717,0.0008200000000000221
buy,2021-11-16 01:25:00+00:00,1.13717,2021-11-16 01:45:00+00:00,1.13669,-0.0006800000000000347
short,2021-11-16 01:50:00+00:00,1.13616,2021-11-16 02:35:00+00:00,1.13744,-0.0014799999999999466
buy,2021-11-16 02:40:00+00:00,1.13758,2021-11-16 07:25:00+00:00,1.13793,0.00015000000000007369
short,2021-11-16 07:30:00+00:00,1.13782,2021-11-16 09:55:00+00:00,1.13755,6.999999999999368e-05
short,2021-11-16 11:05:00+00:00,1.13697,2021-11-16 13:05:00+00:00,1.1362,0.0005699999999999386
buy,2021-11-16 13:15:00+00:00,1.1361,2021-11-16 14:45:00+00:00,1.13639,8.999999999990266e-05
short,2021-11-16 14:50:00+00:00,1.13601,2021-11-16 15:40:00+00:00,1.13716,-0.0013499999999999832
short,2021-11-16 16:00:00+00:00,1.13617,2021-11-16 18:00:00+00:00,1.13503,0.0009399999999999201
short,2021-11-16 18:35:00+00:00,1.13413,2021-11-17 02:20:00+00:00,1.13223,0.001700000000000014
buy,2021-11-17 02:25:00+00:00,1.13229,2021-11-17 04:50:00+00:00,1.13217,-0.0003200000000001188
short,2021-11-17 05:00:00+00:00,1.13219,2021-11-17 08:20:00+00:00,1.12999,0.001999999999999981
buy,2021-11-17 08:30:00+00:00,1.13012,2021-11-17 12:55:00+00:00,1.13096,0.0006399999999999531
short,2021-11-17 13:00:00+00:00,1.13078,2021-11-17 13:30:00+00:00,1.13143,-0.0008500000000000382
buy,2021-11-17 13:50:00+00:00,1.13139,2021-11-17 15:20:00+00:00,1.13177,0.00018000000000004818
short,2021-11-17 15:25:00+00:00,1.13136,2021-11-17 16:50:00+00:00,1.13199,-0.0008300000000001292
short,2021-11-17 17:45:00+00:00,1.12997,2021-11-17 18:45:00+00:00,1.13119,-0.0014199999999999977
buy,2021-11-17 18:55:00+00:00,1.1313,2021-11-17 20:45:00+00:00,1.13175,0.00025000000000006267
short,2021-11-17 21:20:00+00:00,1.13166,2021-11-17 22:15:00+00:00,1.13147,-9.999999999864284e-06
buy,2021-11-17 23:45:00+00:00,1.13212,2021-11-18 06:00:00+00:00,1.1328,0.00048000000000001514
short,2021-11-18 06:55:00+00:00,1.13269,2021-11-18 09:10:00+00:00,1.13192,0.0005699999999999386
buy,2021-11-18 09:15:00+00:00,1.13228,2021-11-18 11:50:00+00:00,1.1328,0.00032000000000007717
buy,2021-11-18 12:35:00+00:00,1.13337,2021-11-18 15:25:00+00:00,1.13383,0.00025999999999990614
short,2021-11-18 15:30:00+00:00,1.13336,2021-11-18 16:40:00+00:00,1.13426,-0.0011000000000001217
buy,2021-11-18 17:20:00+00:00,1.13457,2021-11-19 00:00:00+00:00,1.13673,0.001959999999999941
short,2021-11-19 01:55:00+00:00,1.13702,2021-11-19 07:25:00+00:00,1.13553,0.0012899999999999925
buy,2021-11-19 07:35:00+00:00,1.13566,2021-11-19 08:15:00+00:00,1.13532,-0.0005399999999997837
buy,2021-11-19 08:50:00+00:00,1.13564,2021-11-19 09:50:00+00:00,1.13543,-0.0004100000000000423
short,2021-11-19 09:55:00+00:00,1.13496,2021-11-19 16:05:00+00:00,1.12941,0.005349999999999945
buy,2021-11-19 16:10:00+00:00,1.1295,2021-11-19 19:35:00+00:00,1.13172,0.002020000000000112
short,2021-11-19 19:40:00+00:00,1.13001,2021-11-22 02:20:00+00:00,1.12856,0.0012499999999999525
buy,2021-11-22 02:25:00+00:00,1.12867,2021-11-22 03:45:00+00:00,1.12785,-0.0010200000000000417
short,2021-11-22 03:50:00+00:00,1.1278,2021-11-22 06:15:00+00:00,1.12722,0.0003799999999998041
buy,2021-11-22 06:20:00+00:00,1.12749,2021-11-22 08:40:00+00:00,1.12707,-0.0006200000000000858
short,2021-11-22 08:45:00+00:00,1.12679,2021-11-22 10:15:00+00:00,1.12701,-0.0004200000000001078
buy,2021-11-22 10:20:00+00:00,1.12733,2021-11-22 13:50:00+00:00,1.12829,0.0007600000000000731
short,2021-11-22 13:55:00+00:00,1.12726,2021-11-23 00:40:00+00:00,1.12386,0.003199999999999849
buy,2021-11-23 01:05:00+00:00,1.1238,2021-11-23 03:45:00+00:00,1.12426,0.0002600000000001282
short,2021-11-23 03:50:00+00:00,1.12385,2021-11-23 05:30:00+00:00,1.12383,-0.0001800000000000898
buy,2021-11-23 05:35:00+00:00,1.12411,2021-11-23 06:45:00+00:00,1.12346,-0.0008500000000000382
short,2021-11-23 06:50:00+00:00,1.12335,2021-11-23 07:25:00+00:00,1.12386,-0.0007100000000000092
