,time,open,high,low,close,bid,ask,action,P/L,Total profit
4581,2022-03-09 21:15:00,0.73182,0.73196,0.73133,0.7314,0.73182,0.73182,hold,0.00030999999999989944,-0.029540000000000365
4582,2022-03-09 21:30:00,0.73142,0.73157,0.73127,0.73157,0.73142,0.73143,hold,0.00013999999999989593,-0.029540000000000365
4583,2022-03-09 21:45:00,0.73156,0.73196,0.73143,0.73189,0.73156,0.73157,hold,-0.00018000000000009103,-0.029540000000000365
4584,2022-03-09 22:00:00,0.73185,0.73244,0.73179,0.73242,0.73185,0.73186,hold,-0.0007100000000000104,-0.029540000000000365
4585,2022-03-09 22:15:00,0.73245,0.73296,0.73245,0.73295,0.73245,0.73246,short_buy,-0.001,-0.030540000000000365
4586,2022-03-09 22:30:00,0.73295,0.7331,0.73283,0.73287,0.73295,0.73296,buy,0,-0.030540000000000365
4587,2022-03-09 22:45:00,0.73287,0.73294,0.73206,0.73258,0.73287,0.73287,hold,-0.0004900000000000125,-0.030540000000000365
4588,2022-03-09 23:00:00,0.73258,0.73258,0.73225,0.73238,0.73258,0.7326,hold,-0.0006899999999999904,-0.030540000000000365
4589,2022-03-09 23:15:00,0.73238,0.73244,0.7319,0.73197,0.73238,0.7324,sell,-0.001,-0.031540000000000366
4590,2022-03-09 23:30:00,0.73201,0.73233,0.73198,0.73223,0.73201,0.73201,hold,0,-0.031540000000000366
4591,2022-03-09 23:45:00,0.73223,0.73225,0.73195,0.73225,0.73223,0.73228,hold,0,-0.031540000000000366
4592,2022-03-10 00:00:00,0.73168,0.73192,0.73156,0.73192,0.73168,0.73242,short,0,-0.031540000000000366
4593,2022-03-10 00:15:00,0.73192,0.73213,0.73192,0.73196,0.73192,0.732,hold,-0.00024000000000004,-0.031540000000000366
4594,2022-03-10 00:30:00,0.73196,0.73204,0.73177,0.73182,0.73196,0.73219,hold,-0.00010000000000001102,-0.031540000000000366
4595,2022-03-10 00:45:00,0.73182,0.73183,0.7315,0.73162,0.73182,0.7321,hold,9.999999999996695e-05,-0.031540000000000366
4596,2022-03-10 01:00:00,0.73161,0.73188,0.73143,0.73165,0.73161,0.7317,hold,6.999999999999246e-05,-0.031540000000000366
4597,2022-03-10 01:15:00,0.73168,0.73169,0.73117,0.73126,0.73168,0.73171,hold,0.00045999999999999394,-0.031540000000000366
4598,2022-03-10 01:30:00,0.73126,0.73132,0.731,0.73102,0.73126,0.73129,hold,0.0007000000000000119,-0.031540000000000366
4599,2022-03-10 01:45:00,0.73102,0.73171,0.73101,0.73167,0.73102,0.73102,hold,4.999999999997246e-05,-0.031540000000000366
4600,2022-03-10 02:00:00,0.73167,0.73191,0.7313,0.73132,0.73167,0.7317,hold,0.00040000000000004496,-0.031540000000000366
4601,2022-03-10 02:15:00,0.73128,0.73133,0.73066,0.73093,0.73128,0.73129,hold,0.0007900000000000464,-0.031540000000000366
4602,2022-03-10 02:30:00,0.73092,0.73134,0.73085,0.73108,0.73092,0.73092,hold,0.0006400000000000629,-0.031540000000000366
4603,2022-03-10 02:45:00,0.73106,0.73108,0.73042,0.73043,0.73106,0.73109,hold,0.0012899999999999912,-0.031540000000000366
4604,2022-03-10 03:00:00,0.73045,0.73083,0.72995,0.72997,0.73045,0.73046,hold,0.0017500000000000072,-0.031540000000000366
4605,2022-03-10 03:15:00,0.72998,0.73005,0.72909,0.72956,0.72998,0.72998,short_buy,0.002,-0.029540000000000365
4606,2022-03-10 03:30:00,0.72955,0.72973,0.72876,0.72943,0.72955,0.72955,hold,0,-0.029540000000000365
4607,2022-03-10 03:45:00,0.72941,0.7295,0.72925,0.72948,0.72941,0.72943,hold,0,-0.029540000000000365
4608,2022-03-10 04:00:00,0.72949,0.73004,0.72927,0.72992,0.72949,0.72949,hold,0,-0.029540000000000365
4609,2022-03-10 04:15:00,0.72991,0.73083,0.72974,0.73083,0.72991,0.72992,hold,0,-0.029540000000000365
4610,2022-03-10 04:30:00,0.73084,0.73129,0.73076,0.73109,0.73084,0.73086,hold,0,-0.029540000000000365
4611,2022-03-10 04:45:00,0.73114,0.73157,0.73109,0.73149,0.73114,0.73114,hold,0,-0.029540000000000365
4612,2022-03-10 05:00:00,0.73149,0.73176,0.73132,0.73171,0.73149,0.7315,hold,0,-0.029540000000000365
