time,open,high,low,close,bid,ask,signal,action,position,P/L,Total profit
2022-05-13 23:45:00+00:00,1.29108,1.29132,1.29039,1.29039,1.29108,1.29108,0.0,close short,0.0,0.002,0.2613999999999992
2022-05-16 00:00:00+00:00,1.29169,1.29169,1.29127,1.2913,1.29169,1.29322,0.0,hold,0.0,0.0,0.2613999999999992
2022-05-16 00:15:00+00:00,1.29129,1.29141,1.29128,1.29131,1.29129,1.29285,0.0,hold,0.0,0.0,0.2613999999999992
2022-05-16 00:30:00+00:00,1.2913,1.29152,1.29127,1.29138,1.2913,1.2925,0.0,hold,0.0,0.0,0.2613999999999992
2022-05-16 00:45:00+00:00,1.29139,1.29206,1.29136,1.29148,1.29139,1.29243,0.0,hold,0.0,0.0,0.2613999999999992
2022-05-16 01:00:00+00:00,1.29148,1.29156,1.29007,1.29018,1.29148,1.29274,0.0,hold,0.0,0.0,0.2613999999999992
2022-05-16 01:15:00+00:00,1.29009,1.29045,1.29009,1.29045,1.29009,1.29022,0.0,hold,0.0,0.0,0.2613999999999992
2022-05-16 01:30:00+00:00,1.29045,1.29119,1.29045,1.29103,1.29045,1.29061,0.0,hold,0.0,0.0,0.2613999999999992
2022-05-16 01:45:00+00:00,1.29102,1.29117,1.29081,1.29095,1.29102,1.29117,0.0,hold,0.0,0.0,0.2613999999999992
2022-05-16 02:15:00+00:00,1.29165,1.29166,1.29071,1.29097,1.29165,1.29168,0.0,hold,0.0,0.0,0.2613999999999992
2022-05-16 02:30:00+00:00,1.2909,1.29131,1.29034,1.29038,1.2909,1.29099,0.0,hold,0.0,0.0,0.2613999999999992
2022-05-16 02:45:00+00:00,1.29036,1.29074,1.29013,1.29049,1.29036,1.29042,0.0,hold,0.0,0.0,0.2613999999999992
2022-05-16 03:00:00+00:00,1.29051,1.29105,1.29027,1.29064,1.29051,1.29054,0.0,hold,0.0,0.0,0.2613999999999992
2022-05-16 03:15:00+00:00,1.29066,1.29099,1.2905,1.29063,1.29066,1.29073,0.0,hold,0.0,0.0,0.2613999999999992
2022-05-16 03:30:00+00:00,1.29064,1.29157,1.29063,1.29146,1.29064,1.29068,1.0,buy,1.0,0.0,0.2613999999999992
2022-05-16 03:45:00+00:00,1.29147,1.29154,1.29034,1.29051,1.29147,1.29153,0.0,hold,1.0,0.0007899999999998464,0.2613999999999992
2022-05-16 04:00:00+00:00,1.29051,1.29074,1.28947,1.29022,1.29051,1.29054,-1.0,close long,0.0,-0.00037000000000000346,0.2610299999999992
2022-05-16 04:15:00+00:00,1.2902,1.29154,1.29009,1.29122,1.2902,1.29027,1.0,buy,1.0,0.0,0.2610299999999992
2022-05-16 04:30:00+00:00,1.29122,1.29274,1.29112,1.29263,1.29122,1.29127,0.0,hold,1.0,0.0009500000000000064,0.2610299999999992
2022-05-16 05:00:00+00:00,1.29311,1.29515,1.2931,1.29499,1.29311,1.29319,0.0,close long,0.0,0.002,0.2630299999999992
2022-05-16 05:15:00+00:00,1.295,1.29568,1.29437,1.29537,1.295,1.29503,0.0,hold,0.0,0.0,0.2630299999999992
2022-05-16 05:30:00+00:00,1.29538,1.29576,1.29497,1.29566,1.29538,1.29539,0.0,hold,0.0,0.0,0.2630299999999992
2022-05-16 05:45:00+00:00,1.29567,1.29578,1.29524,1.29544,1.29567,1.29571,0.0,hold,0.0,0.0,0.2630299999999992
2022-05-16 06:00:00+00:00,1.29544,1.29618,1.29521,1.29611,1.29544,1.29549,0.0,hold,0.0,0.0,0.2630299999999992
2022-05-16 06:15:00+00:00,1.29609,1.29797,1.29597,1.29733,1.29609,1.29615,0.0,hold,0.0,0.0,0.2630299999999992
2022-05-16 06:30:00+00:00,1.29734,1.29814,1.29725,1.29741,1.29734,1.29737,0.0,hold,0.0,0.0,0.2630299999999992
2022-05-16 06:45:00+00:00,1.29749,1.29762,1.29701,1.29732,1.29749,1.29756,0.0,hold,0.0,0.0,0.2630299999999992
2022-05-16 07:00:00+00:00,1.29732,1.29737,1.29694,1.29708,1.29732,1.29734,0.0,hold,0.0,0.0,0.2630299999999992
2022-05-16 07:15:00+00:00,1.29709,1.29709,1.29629,1.29638,1.29709,1.29715,0.0,hold,0.0,0.0,0.2630299999999992
2022-05-16 07:30:00+00:00,1.29629,1.2969,1.29629,1.29668,1.29629,1.29634,0.0,hold,0.0,0.0,0.2630299999999992
2022-05-16 07:45:00+00:00,1.29668,1.29671,1.2965,1.29656,1.29668,1.2967,0.0,hold,0.0,0.0,0.2630299999999992
2022-05-16 08:00:00+00:00,1.29656,1.29686,1.29562,1.29609,1.29656,1.29661,-1.0,short,-1.0,0.0,0.2630299999999992
2022-05-16 08:15:00+00:00,1.29609,1.29686,1.29591,1.29672,1.29609,1.29613,0.0,hold,-1.0,0.00042999999999993044,0.2630299999999992
